Date,Open,High,Low,Close,Adj Close,Volume
6/2/2014,22.64143,22.672501,22.232143,22.451786,20.233135,369350800
6/3/2014,22.445,22.812143,22.4375,22.769285,20.519255,292709200
6/4/2014,22.765715,23.138929,22.718214,23.029285,20.753565,335482000
6/5/2014,23.078571,23.191786,22.950357,23.119642,20.83499,303805600
6/6/2014,23.210714,23.259287,23.016787,23.05607,20.777702,349938400
6/9/2014,23.174999,23.469999,22.9375,23.424999,21.110174,301660000
6/10/2014,23.682501,23.762501,23.3925,23.5625,21.234087,251108000
6/11/2014,23.532499,23.690001,23.3675,23.465,21.146227,182724000
6/12/2014,23.51,23.530001,22.975,23.0725,20.792511,218996000
6/13/2014,23.049999,23.110001,22.719999,22.82,20.564962,218100000
6/16/2014,22.877501,23.1875,22.862499,23.049999,20.772234,142244000
6/17/2014,23.077499,23.174999,22.950001,23.02,20.745197,118904000
6/18/2014,23.067499,23.0725,22.8375,23.045,20.767721,134056000
6/19/2014,23.0725,23.075001,22.834999,22.965,20.695631,142112000
6/20/2014,22.9625,23.137501,22.725,22.727501,20.481604,403592000
6/23/2014,22.83,22.905001,22.65,22.7075,20.463577,174776000
6/24/2014,22.6875,22.934999,22.547501,22.57,20.339666,156144000
6/25/2014,22.5525,22.674999,22.4125,22.59,20.357689,147476000
6/26/2014,22.592501,22.762501,22.450001,22.725,20.479357,130516000
6/27/2014,22.705,23,22.692499,22.995001,20.722672,256116000
6/30/2014,23.025,23.432501,23.022499,23.2325,20.936701,197929200
7/1/2014,23.379999,23.5175,23.282499,23.379999,21.069626,152892000
7/2/2014,23.467501,23.514999,23.272499,23.370001,21.060612,113860000
7/3/2014,23.4175,23.525,23.299999,23.5075,21.184521,91567200
7/7/2014,23.535,23.997499,23.525,23.9925,21.621597,225872000
7/8/2014,24.067499,24.200001,23.48,23.8375,21.481913,260888000
7/9/2014,23.860001,23.987499,23.690001,23.8475,21.490923,145744000
7/10/2014,23.440001,23.887501,23.379999,23.76,21.412071,158744000
7/11/2014,23.84,23.9725,23.715,23.805,21.452625,136072000
7/14/2014,23.965,24.2225,23.9125,24.112499,21.729738,171240000
7/15/2014,24.200001,24.2125,23.7575,23.83,21.475155,181911600
7/16/2014,24.2425,24.275,23.684999,23.695,21.353493,213585200
7/17/2014,23.7575,23.82,23.1425,23.272499,20.972748,229192000
7/18/2014,23.405001,23.684999,23.254999,23.6075,21.274639,199952000
7/21/2014,23.747499,23.75,23.43,23.485001,21.164248,156316000
7/22/2014,23.67,23.7225,23.530001,23.68,21.339975,220788000
7/23/2014,23.855,24.469999,23.7925,24.297501,21.89646,371672000
7/24/2014,24.26,24.33,24.105,24.2575,21.860409,182916000
7/25/2014,24.2125,24.459999,24.16,24.4175,22.004601,173876000
7/28/2014,24.455,24.809999,24.387501,24.754999,22.308746,221272000
7/29/2014,24.8325,24.860001,24.5625,24.594999,22.164555,172572000
7/30/2014,24.610001,24.674999,24.4175,24.5375,22.11274,132040000
7/31/2014,24.290001,24.362499,23.8325,23.9,21.538235,227372000
8/1/2014,23.725,24.155001,23.702499,24.032499,21.657644,194044000
8/4/2014,24.092501,24.145,23.7925,23.897499,21.535982,159832000
8/5/2014,23.84,23.92,23.59,23.780001,21.430096,223732000
8/6/2014,23.6875,23.870001,23.6775,23.74,21.394049,154232000
8/7/2014,23.7325,23.987499,23.525,23.620001,21.391787,186844000
8/8/2014,23.565001,23.705,23.32,23.684999,21.450647,167460000
8/11/2014,23.817499,24.02,23.709999,23.997499,21.733675,146340000
